Company	Category	Job_Title	Basic_Qualifications	Preferred_Qualifications	Job_URL
Amazon	project-program-product-management-technical	Sr. Technical Program Manager	· A bachelor's degree in Engineering, Information Systems, Computer Science or equivalent.· 7+ years of Technical Program Management experience· A strong track record of project delivery for large, cross-functional, projects.· Excellent written and verbal communication skills with the ability to present complex technical information in a clear and concise manner to a variety of audiences.	· A Master's Degree in Computer Science· A history of working in start-ups and fast paced environments handling multiple, competing priorities· Exceptional customer relationship skills including the ability to discover the true requirements underlying feature requests, recommend alternative technical and business approaches, and lead engineering efforts to meet aggressive timelines with optimal solutions· Proven track record in researching, developing and shipping software solution.· Industry experience with one of more of the following domains: Large-scale distributed systems, web technologies, mobile development.	https://www.amazon.jobs/en/jobs/879306/sr-technical-program-manager
Amazon	project-program-product-management-technical	Sr. TPM, Alexa Shopping ASR	· Bachelor's degree in Engineering, Computer Science or related technical field or equivalent experience· 5+ years of Technical Program Management experience in a related industry, including hands-on management of large, cross-functional software efforts· Ability to conceptualize complex interrelated applications and system platforms, as well as the ability to effectively communicate those systems to non-technical team members and business partners· Strong bias for action and a "get it done" attitude· Able to work with remote teams	· Experience managing efforts in distributed systems and/or developing large scale web applications· Ability to multitask and manage multiple projects through work prioritization, planning and task delegation	https://www.amazon.jobs/en/jobs/870611/sr-tpm-alexa-shopping-asr
Amazon	project-program-product-management-technical	Senior Technical Program Manager, Amazon Product Catalog	· Bachelor's degree or higher in computer science or math, 5+ years of software development experience, 3+ years of project management experience.· Excellent program management, problem solving and communication skills; experience in interacting with technical and non-technical stakeholders at all levels.· Strong problem solver and a track record of delivering large software projects in a leadership role.	· Experience taking a lead role in architecture, design, and in building complex software systems.· End-to-end experience developing and deploying machine learning based solutions.· Background in data modelling, machine learning algorithms, real-time distributed systems or high performance software systems.· Familiarity with Map Reduce, Spark, Elastic Search, or other similar Big Data technologies.· Work experience in the e-commerce industry.	https://www.amazon.jobs/en/jobs/857179/senior-technical-program-manager-amazon-product-catalog
Amazon	project-program-product-management-technical	Sr. Technical Program Manager	· Bachelor’s Degree in Computer Science, Engineering, or related field· Programming experience (C++, Java, XML, messaging protocols, and Web Services)· Distributed system design· Experience building processes, project management, and release schedules· 5+ years of relevant work experience in internet-related program and/or technical product management in a software applications environment	· Experience with agile or other program management methodologies· Master's degree in computer science, engineering or a related technical discipline· Prior experience as a software developer· Prior experience working on AWS· Excellent problem-solving skills· Fundamental engineering skills across the development lifecycle· Experience communicating with technical and non-technical stakeholders at all levels across multiple business unitsAmazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age.	https://www.amazon.jobs/en/jobs/851111/sr-technical-program-manager
Amazon	project-program-product-management-technical	Principal Product Mgr - Tech, Amazon Prime Video	· BA/BS in Computer Science or related technical field or equivalent practical experience.· 8+ Years of experience operating, managing, and delivering results in a consumer facing online retail/services product management role.· Experience overseeing roadmap strategy and definition, feature delivery and trade offs of a product, end to end product delivery.· Experience contributing to engineering discussions around technology decisions and strategy related to a product.	· Demonstrated strength in building trust and driving alignment across a diverse, matrixed set of stakeholders.· Demonstrated experience with written and verbal communication to influence senior management.· Experience with digital video products and/or technologies.· MBA preferred.	https://www.amazon.jobs/en/jobs/835834/principal-product-mgr-tech-amazon-prime-video
Amazon	project-program-product-management-technical	Principal TPM, Prime Video Engagement Automation	· Bachelor's degree in Engineering, Computer Science or related technical field.· 7+ years of relevant engineering experience.· 5+ years of technical program management experience in a related industry, including hands-on management of large, cross-functional software efforts.· Experience managing projects across cross functional teams, building sustainable processes and coordinating release schedules.· Experience conceptualizing complex interrelated applications and system platforms, as well as the ability to communicate those systems to non-technical team members and business partners.	· Master's Degree in Computer Science or related field.· Experience with machine learning models and online services· Fluency in programming languages beyond Java and C++ (e.g. Ruby, Python, Perl, Python)· Experience working in digital streaming domain· Exceptional verbal and written communication skills· Meets/exceeds Amazon’s leadership principles requirements for this role· Meets/exceeds Amazon’s functional/technical depth and complexity for this roleAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.	https://www.amazon.jobs/en/jobs/822508/principal-tpm-prime-video-engagement-automation
Amazon	project-program-product-management-technical	Product Manager	REQUIREMENTS:A Master's degree or foreign equivalent in Business Administration/Management, Finance, Economics, Marketing, Management Information Systems, Engineering, or related discipline and 2 years of experience in business analysis or product management. In the alternative, employer will accept a Bachelor’s degree or foreign equivalent in Business Administration/Management, Finance, Economics, Marketing, Management Information Systems, Engineering, or related discipline and 5 progressively responsible post-baccalaureate years of experience in business analysis or product management. Experience must include:(1) 2 years of project management experience conducting strategic quantitative and/or qualitative analysis in a cross-functional/org enterprise environment in retail, e-commerce, consulting, finance, operations, or tech industry to support and improve business operations involving program, process, or product management.(2) Any amount of experience managing day-to-day project communications and contributing to Sr. executive management reports and business presentations.(3) Any amount of experience in at least 2 of the following areas: product management, strategic management consulting, financial analysis, sales/business development, technology, and P&L management.Any amount of experience writing both long- and short- term product planning reports, including strategic marketing analysis, product placement, and financial/business reporting.Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, or national origin.#0000	All applicants must meet all the above listed requirements.	https://www.amazon.jobs/en/jobs/820326/product-manager
Amazon	project-program-product-management-technical	Sr. Technical Program Manager	· Bachelor’s degree in computer science, engineering, math, finance, or economics· 5+ years of Technical Program Management experience in a related industry· Superior oral and written communication skills and ability to communicate with both technical and business stakeholders· Proven ability to manage multiple, competing priorities simultaneously and ability to work in a fast-paced environment where continuous innovation is desired· Track record of being detail-oriented and ability to self-motivate and follow-through on projects	· Experience with Agile methodologies: scaled-agile framework, iterative and test-driven development, and federated development teams· 3+ years of software development experience in Java or C++ (or equivalent)· Working knowledge of current cloud-based and webdev technologies and toolsets· Ability to analyze business requirements, write specifications, scope technical requirements, and drive delivery across organizational boundaries· Project Management Professional (PMP) certification, dependency management and risk-based assessment experience	https://www.amazon.jobs/en/jobs/807030/sr-technical-program-manager
Amazon	project-program-product-management-technical	Technical Program Manager II - AMZ1667	Position Requirements:Master's degree or foreign equivalent in Computer Science, Engineering, Mathematics, or a related field and two years of experience in the job offered or as a Project Lead, Product Manager, Software Engineer, or a related occupation. Employer will accept a Bachelor's degree or foreign equivalent in Computer Science, Engineering, Mathematics, or a related field and five years of experience in the job offered or a related occupation as equivalent to the Master's degree and two years of experience. One year of experience in the job offered or a related occupation must involve: managing technical projects from design to release for large-scale software applications; software application performance tuning; and hands-on Object Oriented coding and design using C++, C# or Java.	Applicants must meet all of the above listed requirments for this position.	https://www.amazon.jobs/en/jobs/475965/technical-program-manager-ii-amz1667
Amazon	project-program-product-management-technical	Principal Technical Program Manager - Alexa	· Experience managing projects across cross functional teams, building sustainable processes and coordinating release schedules· 10+ years of relevant engineering experience· 7+ years of technical program management experience· Bachelor's degree or equivalent experience in Engineering, Computer Science or related technical field· 10+ years of experience managing software development programs· Experience managing programs & driving schedules that involve multiple stakeholder teams· Experience managing strategic organizational planning, such as long-term vision, 6-to-12-month planning· Adapt quickly to a fast-paced development environment	· Excellent oral and written communication skills, including the ability to communicate effectively with senior leadership and both technical and non-technical individuals· Experience scaling the processes of a growing organization· Comfortable working in an agile, highly collaborative, dynamic work environment· Track record for being detail-oriented with a demonstrated ability to self-motivate and follow-through on projects· PMP or Project Management Certification· MBA or advanced degree in a quantitative field or Master’s in Business Administration	https://www.amazon.jobs/en/jobs/1413544/principal-technical-program-manager-alexa
Amazon	project-program-product-management-technical	Sr. Product Manager - Tech	· Bachelor's degree or higher in Computer Science or the equivalent required· 6+ years of professional experience with 2+ years of product management experience· Demonstrated experience shipping commercially successful products to global market segments· Experience leading cross-functional teams to deliver products and projects on tight deadline· Experience managing complex product development cycles· Excellent written and verbal communication skills· Proven record of innovation and thought leadership	· MBA or Master’s degree· Proven track record of taking ownership and delivering results in a fast-paced, dynamic environment· Strong analytical and quantitative skills with the ability to use data and metrics to back up assumptions, recommendations, and drive actions· Demonstrated ability to understand and discuss technical concepts, manage tradeoffs and evaluate opportunistic new ideas with internal and external partners· Strong verbal and written communication skills – experience engaging with senior leadership	https://www.amazon.jobs/en/jobs/1413202/sr-product-manager-tech
Amazon	project-program-product-management-technical	Senior Technical Program Manager – Amazon DynamoDB	· Seven or more years of experience in technical leadership roles: technical program management, systems architecture, or system development· Five or more years of experience with the software development lifecycle from conception to delivery· Five or more years of project management experience and a demonstrated knowledge of program management best practices· A Bachelor's degree in Engineering, Computer Science, or equivalent professional experience	· Comfort and experience with cross-organizational communication.· Excellent written and verbal communication skills.· Proven experience in prioritizing and managing large-scale enterprise projects using project management tools.· Demonstrated experience driving overall strategy and teams across organizations.· A solid foundation in service-oriented and web-service technologies so that you can understand service interdependencies and drive toward technical solutions for multi-tiered systems· The ability to independently identify downstream programmatic and technical risks and opportunities (such as system incompatibility and resource unavailability) and escalate them to the appropriate technical resource before they begin to threaten projects· Hands-on experience in an engineering role such as software developer, network engineer, or systems engineer· Meet or exceed Amazon’s functional and technical depth and complexity for this role	https://www.amazon.jobs/en/jobs/1412847/senior-technical-program-manager-amazon-dynamodb
Amazon	project-program-product-management-technical	Principal Product Manager - Technical, Alexa Music	• Bachelor's degree• 8+ years of Product Management, engineering, or relevant experience in a related industry•Experience with end-to-end product and feature delivery•Experience working with engineering and/or on agile enabled teams	• Bachelor's degree in Engineering, Computer Science or related technical field	https://www.amazon.jobs/en/jobs/1412754/principal-product-manager-technical-alexa-music
Amazon	project-program-product-management-technical	Sr. Technical Program Manager	· 5+ years of Technical Program Management experience in a related industry, including hands-on management of large, cross-functional software efforts· Bachelor's degree in Engineering, Computer Science or related technical field· Experience working in an agile/scrum environment· Experience managing efforts in Unix/Linux environments, distributed systems and/or developing large scale web applications· First-hand working knowledge of current web technologies· Experience with business applications such as Word, Excel and Project	· Strong bias for action and "get it done" attitude· The ability to comfortably and confidently present to all levels within the enterprise and to work with both technical and non-technical individuals.· The ability to deal with ambiguity and a changing environment, as well as a rapid work pace.· A proven track record of being detail-oriented with a demonstrated ability to self-motivate and follow through on projects.· Sound business judgment, proven ability to influence others, and strong analytical thinking skills are critical to success in this position· Fluency and comfort with business applications such as Word, Excel and Project.· Project management, Process Improvement or Quality certifications desired.· Strong oral and written communication skills are crucial, as well as ability to scope technical requirements and prioritize· A Masters in computer science or related technical discipline	https://www.amazon.jobs/en/jobs/1412112/sr-technical-program-manager
Amazon	project-program-product-management-technical	Product Manager - Tech	· Bachelor's Degree· 5+ years of experience in product or program management, product marketing, business development or technology· Experience with end to end product delivery· Experience overseeing roadmap strategy and definition· Experience with feature delivery and tradeoffs of a product· Experience contributing to engineering discussions around technology decisions and strategy related to a product· 5+ years of product management experience.· Experience creating or designing great user interfaces.· Sound business judgment, proven ability to influence others, and strong analytical skills.· Excellent written and verbal communication skills.· Proven track record of taking ownership and driving outcomes.· Bachelor's Degree in Computer Science or related field.	· Ability to conceptualize, manage, and prioritize multiple projects.· Ability to navigate a complex and unstructured cross-functional environment.· A combination of technical and business acumen.· Data Driven – you use financial data, usage metrics, ROI, etc. to drive decision-making· Entrepreneurial mindset – you’re always seeking to go bigger, faster, and more efficiently· Mobile/Web App Product Management experience· Prototyping / wireframing experience	https://www.amazon.jobs/en/jobs/1412088/product-manager-tech
Amazon	project-program-product-management-technical	Senior Technical Program Manager	· 5+ years of Technical Program Management experience in an Internet-related program or applications environment (or equivalent)· Bachelor's degree in Computer Science, Engineering, or related technical field (or equivalent)	· · Ability to analyze business requirements, write specifications, scope technical requirements, manage multiple software development efforts, drive rigorous testing, and coordinate product launch.  · Ability to effectively collaborate with cross-functional, cross-organization teams to negotiate and assemble project plans, secure commitments on deliverables, and resolve blocking issues.  · Demonstrated passion for understanding ambiguous, complex problems and driving high-quality, innovative, and robust technical solutions  · Excellent oral and written communication skills  · Experience building solutions in distributed systems and/or developing large scale web applications  · Experience analyzing user experience design and developing high profile customer facing products with intricate customer experience workflows.  · Experience with agile/iterative development and program management methodologies  · Exceptional stakeholder management and executive presentation skills.	https://www.amazon.jobs/en/jobs/1412023/senior-technical-program-manager
Amazon	project-program-product-management-technical	Sr. Manager- Product Management	· Experience handling multiple products simultaneously· Comfortable working in a fast paced, highly collaborative, ambiguous work environment intersecting cross functional teams across hardware, software and services.	· MBA· Strong strategic aptitude; ability to define a winning business strategy and product road map, and execute complex development cycles.· Excellent customer experience intuition; demonstrated success in inventing innovative and user-friendly products.· Familiarity with device software, operating systems, silicon and other foundational blocks of the stack.· Experience driving products combining HW/SW/Services at scale· At your best in a dynamic and rapidly changing environment· High attention to detail while excelling in ambiguous environments.· Executive presence to influence teams and leaders at all levels.· Excellent verbal and written communications skills	https://www.amazon.jobs/en/jobs/1411767/sr-manager-product-management
Amazon	project-program-product-management-technical	 Senior Product Manager - Technical	· 5+ years of experience in product management, product marketing, business development or technology· Experience with end to end product delivery· Experience overseeing roadmap strategy and definition· Experience with feature delivery and tradeoffs of a product· Experience contributing to engineering discussions around technology decisions and strategy related to a product	· Ability to work with multiple disciplines – machine learning scientists, software developers, linguists, data specialists.· Demonstrated success bringing new customer facing products or services to market by driving product requirements through a software development team using an agile or semi-agile development processes· Excellent communication and persuasion skills· Demonstrated ability to dive deep in understanding the product, our business, and the competitive landscape.· Demonstrated experience influencing and collaborating across multiple teams in a large organization.· Impeccable written communication skills for writing business and product strategy.Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover, invent, simplify and build.	https://www.amazon.jobs/en/jobs/1411737/senior-product-manager-technical
Amazon	project-program-product-management-technical	Principal Product Mgr, Alexa Privacy	· 8+ years of experience in product or program management, product marketing, business development or technology· Experience with feature delivery and tradeoffs of a product· Bachelor's Degree· Experience with end to end product delivery· Experience contributing to engineering discussions around technology decisions and strategy related to a product· Experience overseeing roadmap strategy and definition· 5+ years work experience in Product Development or Technology organizations· People management experience, with success developing strong performers and experience coaching and growing team members· Experience working with and influencing senior level stakeholders and demonstrated ability to successfully influence stakeholders without formal authority, leading cross functional teams across geographies and business units· Demonstrated skills in developing product roadmaps & functions, specifications, launching new products, conducting customer research, and facilitating user testing.· Technical fluency; comfort understanding and discussing technology concepts, experience evaluating tradeoffs and new opportunities with technical team members· Proven ability to identify, analyze, and solve ambiguous problems independently with an extreme attention to detail· Strong writing skills; ability to articulate a product vision in a written document· Strong organizational skills with demonstrated ability to manage multiple high-complexity projects· Strong verbal communication and presentation skills; sufficient poise to successfully interact with all levels of an organization, cross-functional partners, and customers.· Passion for technology, curiosity to dive deep into Amazon’s suite of technical products and commitment to learning and expanding technical knowledge· MBA or relevant graduate degree	· Knowledge of Privacy challenges, industry compliance standards and benchmarking processes an additional advantage.	https://www.amazon.jobs/en/jobs/1411724/principal-product-mgr-alexa-privacy
Amazon	project-program-product-management-technical	Senior Product Manager - Technical	· Bachelor's degree in a computer science or engineering field.· 5+years of product management experience preferably with IT Infrastructure including compute, storage networking and/or Internet business experience.· 5+ years of product management experience in delivering successful products.· 5+ years of experience in translating customer needs into features, product packaging, appropriate pricing models, positioning and delivering an excellent customer experience.· Able to work in a diverse team	· Masters in Computer Science/Engineering/Mathematics and/or MBA· Broad technical breadth and depth including familiarity with data center technologies, virtualization and public cloud· Demonstrated success in delivering high quality technology products/services in a scale up environment where priorities can shift rapidly· Experience in driving a high level of focus· Experience driving a technical global product team with end to end inbound and outbound product responsibilities· Sound business judgment, proven ability to influence others, and top rated analytical thinking skillsAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.	https://www.amazon.jobs/en/jobs/1411600/senior-product-manager-technical
Amazon	project-program-product-management-technical	Principal Product Manager (Tech) - Alexa for Business	· 8+ years of experience in product or program management, product marketing, business development or technology· Experience with feature delivery and tradeoffs of a product· Bachelor's Degree· Experience with end to end product delivery· Experience contributing to engineering discussions around technology decisions and strategy related to a product· Experience overseeing roadmap strategy and definition	· MBA or Master’s degree· A track record of consistently exceeding business growth goals· Product management experience at start-ups and large companies· Experience inventing and scaling enterprise products and services, ideally, SaaS ones	https://www.amazon.jobs/en/jobs/1411570/principal-product-manager-tech-alexa-for-business
Amazon	project-program-product-management-technical	Sr. Manager - Product Management Technical 	· Bachelor’s degree in a technology discipline, data science or related field preferred· 12+ years of Product Management or equivalent experience in an enterprise or hosted solution context	· MBA or advanced quantitative/technical degree· Demonstrated analytical and quantitative skills, ability to use hard data and metrics to back up assumptions and develop business cases· Demonstrated ability to dive deep in understanding the product, our business, and the landscape· A history of product management in a startup/enterprise environment· Experience in managing customer facing applications for both web and mobile· Experience with customer development and validating products through customer feedback· A deep understanding of software development in a team, and a proven track record of shipping software quickly then iterating on the experience· Enterprise software development experience· Meets/exceeds Amazon’s leadership principles requirements for this role· Meets/exceeds Amazon’s functional/technical depth and complexity for this role	https://www.amazon.jobs/en/jobs/1411270/sr-manager-product-management-technical
Amazon	project-program-product-management-technical	Senior Product Manager - Technical 	BASIC QUALIFICATIONS QUALIFICATIONS· 5+ years of Product Management experience with direct product ownership.· 3+ years working at a software company focused on customer experience with a large number of users.· Demonstrated skills in developing product roadmaps and functional specifications, launching new products, conducting customer research, and informing user testing.· Experience working directly with Engineers and UX designers in an Agile development environment.· Experience working cross-functionally with UX design and software development teams, managing the day to day tactics.· Demonstrated ability to successfully influence stakeholders without formal authority, leading cross functional teams across geographies and business units.· 4-year BA/BS required or equivalent years of industry experience	PREFERRED QUALIFICATIONS· MBA or Master's Degree· Experience working in the BI, analytics and machine learning. space.· Proven ability to identify, analyze, and solve ambiguous problems, showing a track record of making business decisions using relevant data and insights.· Demonstrated ability to manage multiple complex projects and competing priorities.· Demonstrated track record of strong written and verbal communication to gain buy-in for product direction and crisply communicate product status updates.· Strong strategic aptitude; proven ability to define a winning business strategy and product roadmap and gain buy-in from stakeholders at all levels.· Technical fluency; comfort understanding and discussing technology concepts, schedule trade-offs and new opportunities with technical team members.· Excellent customer experience intuition; demonstrated success in creating innovative and user-friendly products and customer-facing features.· Excellent organizational and presentation skills with the ability to successfully interact and influence across functions at all levels of an organization and with customers.· Quantitative background with proven ability to synthesize and make sense out of huge amounts of data.· Prior experience working as a software developer or UX designer.· MBA or Master's Degree· Experience with BI, analytics and machine learning.	https://www.amazon.jobs/en/jobs/1411132/senior-product-manager-technical
Amazon	project-program-product-management-technical	Sr. Product Manager - Technical, AWS IoT	· Bachelor’s Degree in Computer Science or a related field, or 10+ years relevant work experience in product management, and IoT· Experience delivering products that incorporate advanced analytical techniques, data-driven decision processes and applied statistical methods· Experience in leading product development start to finish, including shipping customer-facing products, with the ability to drive prioritization consensus across business units and serve as an effective liaison between customers and engineering	· Strong customer focus, ownership, urgency and drive· Strong technical acumen and understanding of emerging disruptive technologies, like cloud computing, IoT, Machine Learning, Computer Vision, AR/VR etc.· Work experience delivering one or more V1 products, ideally in a startup or similar setting· MBA or Master's degree in Technology (Computer Science, Computer Engineering)· Knowledge of consumer related metrics, funnel analysis, conversion, consumer acquisition and retention and go to market strategies for technology product and services· Proven success in delivering complex technology products/services in a high growth environment· Experience designing, operating, or managing industrial productsAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation	https://www.amazon.jobs/en/jobs/1410952/sr-product-manager-technical-aws-iot
